CustomerID,CustomerName,Gender,Age,City,State,Region,Segment,SignupDate
C1001,Darsh Rau,Male,56,Lucknow,Uttar Pradesh,North,Regular,2023-08-15
C1002,Ikbal Kothari,Female,39,Bengaluru,Karnataka,South,New,2023-01-07
C1003,Ranveer Yadav,Male,36,Noida,Uttar Pradesh,North,Premium,2026-01-26
C1004,Logan Sami,Male,46,Jaipur,Rajasthan,West,Regular,2026-04-28
C1005,Arya Shere,Female,47,Kolkata,West Bengal,East,New,2024-07-25
C1006,Faqid Savant,Female,32,Chennai,Tamil Nadu,South,New,2024-09-04
C1007,Chandresh Zachariah,Female,63,Ahmedabad,Gujarat,West,New,2023-04-03
C1008,Girik Khalsa,Male,49,Surat,Gujarat,West,New,2025-03-11
C1009,Niharika Sunder,Male,46,Mysuru,Karnataka,South,Regular,2026-05-07
C1010,Tanay Rattan,Male,44,Kochi,Kerala,South,New,2025-07-09
C1011,Nitesh Raghavan,Female,39,Bengaluru,Karnataka,South,Premium,2024-02-07
C1012,Madhavi Lanka,Female,61,Ahmedabad,Gujarat,West,New,2026-03-31
C1013,Bhavika Sampath,Female,52,Surat,Gujarat,West,Regular,2024-12-25
C1014,Mohammed Gupta,Female,32,New Delhi,Delhi,North,Premium,2025-01-03
C1015,Teerth Bhardwaj,Male,46,Ahmedabad,Gujarat,West,Regular,2025-09-25
C1016,Dipta Bhandari,Female,21,Hyderabad,Telangana,South,Regular,2021-09-23
C1017,Vansha Thakkar,Male,51,Kolkata,West Bengal,East,Regular,2022-04-15
C1018,Dakshesh Trivedi,Male,23,Chandigarh,Punjab,North,Premium,2022-06-04
C1019,Quincy Biswas,Male,32,Ahmedabad,Gujarat,West,Regular,2024-04-05
C1020,Wahab Raval,Male,47,Hyderabad,Telangana,South,New,2022-11-25
C1021,Yatin Baral,Female,40,Chandigarh,Punjab,North,New,2021-11-19
C1022,Oni Virk,Female,47,Hyderabad,Telangana,South,New,2025-05-04
C1023,Advika Jayaraman,Female,24,Coimbatore,Tamil Nadu,South,Regular,2026-04-03
C1024,William Lanka,Female,62,Jaipur,Rajasthan,West,Regular,2024-09-10
C1025,Karan Mital,Male,54,Ludhiana,Punjab,North,New,2023-01-04
C1026,Diya Bora,Female,36,Gurugram,Haryana,North,Premium,2024-11-13
C1027,Tara Chaudhry,Male,57,Coimbatore,Tamil Nadu,South,Regular,2022-09-12
C1028,Tanay Toor,Male,58,Gurugram,Haryana,North,Premium,2024-12-28
C1029,Kevin Palla,Female,64,Hyderabad,Telangana,South,Regular,2021-08-28
C1030,Yash Pingle,Female,29,Hyderabad,Telangana,South,Regular,2025-08-29
C1031,Nakul Sarma,Female,28,Noida,Uttar Pradesh,North,Regular,2024-06-12
C1032,Abhiram Mistry,Female,25,Kozhikode,Kerala,South,Regular,2025-08-27
C1033,Krish Lalla,Male,61,New Delhi,Delhi,North,Premium,2025-09-12
C1034,Hredhaan Dugal,Female,18,Surat,Gujarat,West,Regular,2021-12-22
C1035,Baghyawati Kade,Female,55,New Delhi,Delhi,North,Regular,2023-07-15
C1036,Samar Lalla,Male,48,Ludhiana,Punjab,North,Regular,2022-01-28
C1037,Zayan Behl,Male,59,Noida,Uttar Pradesh,North,Regular,2024-11-21
C1038,Pallavi Malhotra,Female,25,Kozhikode,Kerala,South,Regular,2025-02-09
C1039,Aarush Nath,Male,24,Pune,Maharashtra,West,Regular,2024-03-25
C1040,Adweta Edwin,Female,41,Lucknow,Uttar Pradesh,North,Premium,2023-08-25
C1041,Prisha Andra,Male,44,Gurugram,Haryana,North,Premium,2024-10-05
C1042,Faqid Dixit,Male,62,Kozhikode,Kerala,South,Regular,2023-01-14
C1043,Kala Divan,Female,24,Kozhikode,Kerala,South,New,2022-10-17
C1044,Joshua Barman,Female,35,Kolkata,West Bengal,East,Regular,2021-10-23
C1045,Janya Baral,Male,59,New Delhi,Delhi,North,Premium,2021-12-25
C1046,Shivansh Krish,Female,33,Mumbai,Maharashtra,West,New,2025-11-18
C1047,Irya Ray,Male,55,Jaipur,Rajasthan,West,Regular,2021-11-08
C1048,Warjas Gaba,Male,56,Coimbatore,Tamil Nadu,South,Regular,2025-10-23
C1049,Nitara Bakshi,Female,29,Bengaluru,Karnataka,South,Regular,2024-07-01
